SeasonStart;PlayerName;PlayerSalary;Pos;Age;Tm;FG%;PTS
1986;A.C. Green;;PF;22;LAL;53,9;521
1987;A.C. Green;;PF;23;LAL;53,8;852
1988;A.C. Green;;PF;24;LAL;50,3;937
1989;A.C. Green;;PF;25;LAL;52,9;1088
1990;A.C. Green;$1,750,000.00 ;PF;26;LAL;47,8;1061
1991;A.C. Green;$1,750,000.00 ;PF;27;LAL;47,6;750
1992;A.C. Green;$1,750,000.00 ;PF;28;LAL;47,6;1116
1993;A.C. Green;$1,885,000.00 ;PF;29;LAL;53,7;1051
1994;A.C. Green;$6,472,600.00 ;PF;30;PHO;50,2;1204
1995;A.C. Green;$6,473,000.00 ;SF;31;PHO;50,4;916
1996;A.C. Green;$4,851,000.00 ;SF;32;PHO;48,4;612
1997;A.C. Green;;PF;33;TOT;48,3;597
1997;A.C. Green;;PF;33;PHO;47,7;153
1997;A.C. Green;;PF;33;DAL;48,6;444
1998;A.C. Green;$5,125,088.00 ;PF;34;DAL;45,3;600
1999;A.C. Green;$1,700,000.00 ;PF;35;DAL;42,2;246
2000;A.C. Green;$2,250,000.00 ;PF;36;LAL;44,7;413
2001;A.C. Green;;PF;37;MIA;44,4;367
2000;A.J. Bramlett;;C;23;CLE;19;8
1991;A.J. English;$325,000.00 ;SG;23;WSB;43,9;616
1992;A.J. English;$406,000.00 ;SG;24;WSB;43,3;886
2001;A.J. Guyton;$465,850.00 ;PG;22;CHI;40,6;198
2002;A.J. Guyton;$18,748.00 ;PG;23;CHI;36,1;244
2003;A.J. Guyton;;PG;24;GSW;0;0
2017;A.J. Hammons;$1,312,611.00 ;C;24;DAL;40,5;48
2010;A.J. Price;$762,195.00 ;PG;23;IND;41;410
2011;A.J. Price;$854,389.00 ;PG;24;IND;35,6;323
2012;A.J. Price;$885,120.00 ;PG;25;IND;33,9;172
2013;A.J. Price;;PG;26;WAS;39;441
2014;A.J. Price;$62,552.00 ;SG;27;MIN;41,3;44
2015;A.J. Price;;PG;28;TOT;37,2;133
2015;A.J. Price;;PG;28;IND;43,8;105
2015;A.J. Price;;PG;28;CLE;26,5;22
2015;A.J. Price;;PG;28;PHO;21,4;6
1991;A.J. Wynder;$130,000.00 ;PG;26;BOS;25;12
1971;A.W. Holt;;SF;24;CHI;12,5;4
2008;Aaron Brooks;$1,045,560.00 ;PG;23;HOU;41,3;264
2009;Aaron Brooks;$1,118,520.00 ;PG;24;HOU;40,4;894
2010;Aaron Brooks;;PG;25;HOU;43,2;1604
2011;Aaron Brooks;;PG;26;TOT;37,5;634
2011;Aaron Brooks;;PG;26;HOU;34,6;394
2011;Aaron Brooks;;PG;26;PHO;43;240
2013;Aaron Brooks;$3,396,250.00 ;PG;28;TOT;45,3;376
2013;Aaron Brooks;$3,396,250.00 ;PG;28;SAC;45,9;366
2013;Aaron Brooks;$3,396,250.00 ;PG;28;HOU;30,8;10
2014;Aaron Brooks;;PG;29;TOT;40,1;645
2014;Aaron Brooks;;PG;29;HOU;39,5;299
2014;Aaron Brooks;;PG;29;DEN;40,6;346
2015;Aaron Brooks;$2,000,000.00 ;PG;30;CHI;42,1;954
2016;Aaron Brooks;$2,700,000.00 ;PG;31;CHI;40,1;491
2017;Aaron Brooks;$2,116,955.00 ;PG;32;IND;40,3;322
2015;Aaron Gordon;$4,171,680.00 ;PF;19;ORL;44,7;243
2016;Aaron Gordon;$4,351,320.00 ;PF;20;ORL;47,3;719
2017;Aaron Gordon;$5,504,420.00 ;SF;21;ORL;45,4;1019
2008;Aaron Gray;$711,517.00 ;C;23;CHI;50,5;262
2009;Aaron Gray;$1,000,497.00 ;C;24;CHI;48,5;196
2010;Aaron Gray;$1,028,840.00 ;C;25;TOT;51,2;104
2010;Aaron Gray;$1,028,840.00 ;C;25;CHI;38,1;18
2010;Aaron Gray;$1,028,840.00 ;C;25;NOH;55,7;86
2011;Aaron Gray;$2,500,000.00 ;C;26;NOH;56,6;129
2012;Aaron Gray;$2,575,000.00 ;C;27;TOR;51,6;191
2013;Aaron Gray;$2,690,875.00 ;C;28;TOR;53,3;119
2014;Aaron Gray;$1,227,985.00 ;C;29;TOT;44,3;65
2014;Aaron Gray;$1,227,985.00 ;C;29;TOR;66,7;5
2014;Aaron Gray;$1,227,985.00 ;C;29;SAC;43,1;60
2016;Aaron Harrison;$375,579.00 ;SG;21;CHO;26,3;18
2017;Aaron Harrison;;SG;22;CHO;0;1
1975;Aaron James;;SF;22;NOJ;47,7;887
1976;Aaron James;;SF;23;NOJ;44,1;677
1977;Aaron James;;SF;24;NOJ;49;565
1978;Aaron James;;SF;25;NOJ;49,7;973
1979;Aaron James;;SF;26;NOJ;49,4;727
1995;Aaron McKie;$845,000.00 ;SG;22;POR;44,4;293
1996;Aaron McKie;$1,040,000.00 ;SG;23;POR;46,7;864
1997;Aaron McKie;$1,235,000.00 ;SG;24;TOT;41,1;433
1997;Aaron McKie;$1,235,000.00 ;SG;24;POR;34;170
1997;Aaron McKie;$1,235,000.00 ;SG;24;DET;46,4;263
1998;Aaron McKie;$1,430,000.00 ;SG-SF;25;TOT;36,5;332
1998;Aaron McKie;$1,430,000.00 ;SF;25;DET;41,3;109
1998;Aaron McKie;$1,430,000.00 ;SG;25;PHI;34,7;223
1999;Aaron McKie;$1,624,000.00 ;SG;26;PHI;40,1;240
2000;Aaron McKie;;SG;27;PHI;41,1;653
2001;Aaron McKie;$4,000,000.00 ;SG;28;PHI;47,3;878
2002;Aaron McKie;;SG;29;PHI;44,9;587
2003;Aaron McKie;;SF;30;PHI;42,9;721
2004;Aaron McKie;$5,500,000.00 ;SF;31;PHI;45,9;689
2005;Aaron McKie;$6,000,000.00 ;SG;32;PHI;43;152
2006;Aaron McKie;$5,570,874.00 ;PG;33;LAL;25;7
2007;Aaron McKie;$750,000.00 ;SF;34;LAL;64,7;22
2006;Aaron Miles;;PG;22;GSW;33,3;16
1995;Aaron Swinson;;SF;24;PHO;55,6;24
1994;Aaron Williams;$150,000.00 ;PF;22;UTA;25;4
1995;Aaron Williams;;PF;23;MIL;33,3;24
1997;Aaron Williams;$500,000.00 ;PF-C;25;TOT;57,4;203
1997;Aaron Williams;$500,000.00 ;C;25;DEN;60;6
1997;Aaron Williams;$500,000.00 ;PF;25;VAN;57,3;197
1998;Aaron Williams;$575,000.00 ;PF;26;SEA;52,3;296
1999;Aaron Williams;$1,100,000.00 ;PF;27;SEA;42,3;158
2000;Aaron Williams;$2,250,000.00 ;PF;28;WAS;52,2;616
2001;Aaron Williams;$2,475,000.00 ;PF;29;NJN;45,7;838
2002;Aaron Williams;$2,700,000.00 ;PF;30;NJN;52,6;592
2003;Aaron Williams;$2,925,000.00 ;C;31;NJN;45,3;500
2004;Aaron Williams;$3,790,257.00 ;C;32;NJN;50,3;450
2005;Aaron Williams;$3,375,000.00 ;C;33;TOT;46;73
2005;Aaron Williams;$3,375,000.00 ;C;33;NJN;51,9;37
2005;Aaron Williams;$3,375,000.00 ;C;33;TOR;41,7;36
2006;Aaron Williams;$1,750,000.00 ;C;34;TOT;51,7;222
2006;Aaron Williams;$1,750,000.00 ;C;34;TOR;52,6;25
2006;Aaron Williams;$1,750,000.00 ;C;34;NOK;51,6;197
2007;Aaron Williams;$1,890,000.00 ;PF;35;LAC;54,7;76
2008;Aaron Williams;;C;36;LAC;49,1;68
1980;Abdul Jeelani;;SF;25;POR;51;737
1981;Abdul Jeelani;;SF;26;DAL;42,5;553
1994;Acie Earl;$845,000.00 ;C;23;BOS;40,6;410
1995;Acie Earl;$1,040,000.00 ;C;24;BOS;38,2;66
1996;Acie Earl;$1,235,000.00 ;C;25;TOR;42,4;316
1997;Acie Earl;$1,430,000.00 ;C;26;TOT;37,2;188
1997;Acie Earl;$1,430,000.00 ;C;26;TOR;37,6;162
1997;Acie Earl;$1,430,000.00 ;C;26;MIL;34,8;26
2008;Acie Law;$2,071,680.00 ;PG;23;ATL;40,1;235
2009;Acie Law;$2,216,160.00 ;PG;24;ATL;37,4;162
2010;Acie Law;$656,030.00 ;PG;25;TOT;46,7;113
2010;Acie Law;$656,030.00 ;PG;25;GSW;64,3;31
2010;Acie Law;$656,030.00 ;PG;25;CHA;31,3;16
2010;Acie Law;$656,030.00 ;PG;25;CHI;46,7;66
2011;Acie Law;;PG;26;TOT;43,5;215
2011;Acie Law;;PG;26;MEM;15,8;12
2011;Acie Law;;PG;26;GSW;46,7;203
2003;Adam Harrington;;SG;22;TOT;29,7;30
2003;Adam Harrington;;SG;22;DAL;23,5;11
2003;Adam Harrington;;SG;22;DEN;35;19
1993;Adam Keefe;$1,200,000.00 ;PF;22;ATL;50;542
1994;Adam Keefe;$1,500,000.00 ;PF;23;ATL;45,1;273
1995;Adam Keefe;$1,650,000.00 ;SF;24;UTA;57,7;461
1996;Adam Keefe;$1,950,000.00 ;PF;25;UTA;52;499
1997;Adam Keefe;$2,300,000.00 ;C;26;UTA;51,3;235
1998;Adam Keefe;$2,650,000.00 ;C;27;UTA;54;620
1999;Adam Keefe;;PF;28;UTA;45,2;174
2000;Adam Keefe;$3,390,000.00 ;C;29;UTA;40,8;135
2001;Adam Keefe;;PF;30;GSW;40,3;168
2007;Adam Morrison;;PF;22;CHA;37,6;917
2009;Adam Morrison;$5,257,229.00 ;SF;24;TOT;35,9;209
2009;Adam Morrison;$5,257,229.00 ;SF;24;CHA;36;199
2009;Adam Morrison;$5,257,229.00 ;SF;24;LAL;33,3;10
2010;Adam Morrison;;SF;25;LAL;37,6;74
1998;Adonal Foyle;$1,701,000.00 ;C;22;GSW;40,6;165
1999;Adonal Foyle;$1,922,520.00 ;C;23;GSW;43;129
2000;Adonal Foyle;$3,580,000.00 ;C;24;GSW;50,8;420
2001;Adonal Foyle;$4,400,000.00 ;C;25;GSW;41,6;342
2002;Adonal Foyle;$4,400,000.00 ;C;26;GSW;44,4;379
2003;Adonal Foyle;$4,400,000.00 ;C;27;GSW;53,6;440
2004;Adonal Foyle;$6,500,000.00 ;C;28;GSW;45,4;137
2005;Adonal Foyle;$7,312,500.00 ;C;29;GSW;50,2;352
2006;Adonal Foyle;$8,125,000.00 ;C;30;GSW;50,7;345
2007;Adonal Foyle;$8,937,500.00 ;C;31;GSW;56,5;107
2008;Adonal Foyle;$1,262,275.00 ;C;32;ORL;45,8;156
2009;Adonal Foyle;$1,306,455.00 ;C;33;TOT;63,6;17
2009;Adonal Foyle;$1,306,455.00 ;C;33;ORL;63,6;17
2009;Adonal Foyle;$1,306,455.00 ;C;33;MEM;;0
1994;Adonis Jordan;;PG;23;DEN;26,1;15
1999;Adonis Jordan;;PG;28;MIL;50;6
2014;Adonis Thomas;;SF;20;TOT;42,9;14
2014;Adonis Thomas;;SF;20;ORL;33,3;7
2014;Adonis Thomas;;SF;20;PHI;60;7
2015;Adreian Payne;$1,938,840.00 ;PF;23;TOT;41,4;213
2015;Adreian Payne;$1,938,840.00 ;PF;23;ATL;28,6;5
2015;Adreian Payne;$1,938,840.00 ;PF;23;MIN;41,8;208
2016;Adreian Payne;$2,022,240.00 ;PF;24;MIN;36,6;132
2017;Adreian Payne;;PF;25;MIN;42,6;63
1987;Adrian Branch;;SF;23;LAL;50;138
1988;Adrian Branch;;SF;24;NJN;41,8;133
1989;Adrian Branch;;SF;25;POR;46,3;498
1990;Adrian Branch;;SF;26;MIN;41;65
1990;Adrian Caldwell;$275,000.00 ;PF;23;HOU;55,3;97
1991;Adrian Caldwell;;PF;24;HOU;42,2;77
1995;Adrian Caldwell;$225,000.00 ;PF;28;HOU;25;5
1996;Adrian Caldwell;;PF;29;IND;55,4;110
1997;Adrian Caldwell;$20,000.00 ;PF;30;TOT;43,5;101
1997;Adrian Caldwell;$20,000.00 ;PF;30;NJN;28,6;29
1997;Adrian Caldwell;$20,000.00 ;PF;30;PHI;52,6;72
1998;Adrian Caldwell;;PF;31;DAL;;0
1977;Adrian Dantley*;;SF;20;BUF;52;1564
1978;Adrian Dantley*;;SF;21;TOT;51,2;1697
1978;Adrian Dantley*;;SF;21;IND;49,9;609
1978;Adrian Dantley*;;SF;21;LAL;52;1088
1979;Adrian Dantley*;;SF;22;LAL;51;1040
1980;Adrian Dantley*;;SF;23;UTA;57,6;1903
1981;Adrian Dantley*;;SF;24;UTA;55,9;2452
1982;Adrian Dantley*;;SF;25;UTA;57;2457
1983;Adrian Dantley*;;SF;26;UTA;58;676
1984;Adrian Dantley*;;SF;27;UTA;55,8;2418
1985;Adrian Dantley*;;SF;28;UTA;53,1;1462
1986;Adrian Dantley*;;SF;29;UTA;56,3;2267
1987;Adrian Dantley*;;SF;30;DET;53,4;1742
1988;Adrian Dantley*;;SF;31;DET;51,4;1380
1989;Adrian Dantley*;;SF;32;TOT;49,3;1400
1989;Adrian Dantley*;;SF;32;DET;52,1;772
1989;Adrian Dantley*;;SF;32;DAL;46,2;628
1990;Adrian Dantley*;$400,000.00 ;SF;33;DAL;47,7;662
1991;Adrian Dantley*;;SF;34;MIL;38;57
2000;Adrian Griffin;$498,500.00 ;SG;25;BOS;42,4;485
2001;Adrian Griffin;$565,850.00 ;SF;26;BOS;34;93
2002;Adrian Griffin;$637,435.00 ;SG;27;DAL;49,9;415
2003;Adrian Griffin;$751,179.00 ;SG;28;DAL;43,3;325
2004;Adrian Griffin;;SG;29;HOU;27,8;11
2005;Adrian Griffin;$768,718.00 ;SF;30;CHI;36;151
2006;Adrian Griffin;$1,475,000.00 ;SG;31;DAL;48;237
2007;Adrian Griffin;$1,593,000.00 ;SF;32;CHI;47,3;137
2008;Adrian Griffin;$1,711,000.00 ;SG-SF;33;TOT;39,5;65
2008;Adrian Griffin;$1,711,000.00 ;SG;33;CHI;40;51
2008;Adrian Griffin;$1,711,000.00 ;SF;33;SEA;37,5;14
1962;Adrian Smith;;SG;25;CIN;40,5;576
1963;Adrian Smith;;SG;26;CIN;44,3;705
1964;Adrian Smith;;SG;27;CIN;40,6;622
1965;Adrian Smith;;SG;28;CIN;45,6;1210
1966;Adrian Smith;;SG;29;CIN;40,5;1470
1967;Adrian Smith;;SG;30;CIN;43,8;1347
1968;Adrian Smith;;SG;31;CIN;46,4;1280
1969;Adrian Smith;;SG;32;CIN;43,2;703
1970;Adrian Smith;;SG;33;TOT;36,8;458
1970;Adrian Smith;;SG;33;CIN;40,5;172
1970;Adrian Smith;;SG;33;SFW;34,7;286
1971;Adrian Smith;;SG;34;SFW;42,7;111
1961;Al Attles;;PG;24;PHW;40,9;541
1962;Al Attles;;PG;25;PHW;47,4;844
1963;Al Attles;;PG;26;SFW;47,8;735
1964;Al Attles;;PG;27;SFW;45,2;763
1965;Al Attles;;PG;28;SFW;38,4;679
1966;Al Attles;;PG;29;SFW;50,3;882
1967;Al Attles;;PG;30;SFW;45,4;512
1968;Al Attles;;PG;31;SFW;46,7;654
1969;Al Attles;;PG;32;SFW;45,1;419
1970;Al Attles;;PG;33;SFW;38,6;231
1971;Al Attles;;PG;34;SFW;40,7;68
1957;Al Bianchi;;PG;24;SYR;35,1;563
1958;Al Bianchi;;SG;25;SYR;34,4;570
1959;Al Bianchi;;PG;26;SYR;37,7;719
1960;Al Bianchi;;PG;27;SYR;36,6;531
1961;Al Bianchi;;PG;28;SYR;34,5;296
1962;Al Bianchi;;PG;29;SYR;39,7;826
1963;Al Bianchi;;SG;30;SYR;42,4;524
1964;Al Bianchi;;PG;31;PHI;37,6;623
1965;Al Bianchi;;PG;32;PHI;36;404
1966;Al Bianchi;;PG;33;PHI;38,2;494
1962;Al Butler;;PG;23;TOT;46,3;827
1962;Al Butler;;PG;23;BOS;44,8;31
1962;Al Butler;;PG;23;NYK;46,3;796
1963;Al Butler;;PG;24;NYK;43,9;738
1964;Al Butler;;PG;25;NYK;42,2;658
1965;Al Butler;;PG;26;BAL;32,9;59
1976;Al Carlson;;C;24;SEA;34,2;72
1950;Al Cervi*;;PG;32;SYR;33,2;573
1951;Al Cervi*;;PG;33;SYR;38,2;458
1952;Al Cervi*;;PG;34;SYR;35,4;417
1953;Al Cervi*;;PG;35;SYR;43,7;143
1975;Al Eberhard;;SF;22;DET;36,5;79
1976;Al Eberhard;;SF;23;DET;41,4;757
1977;Al Eberhard;;SF;24;DET;47,6;471
1978;Al Eberhard;;SF;25;DET;44,4;183
1956;Al Ferrari;;SF;22;STL;35,8;546
1959;Al Ferrari;;SG;25;STL;34,8;413
1960;Al Ferrari;;SG;26;STL;41,3;608
1961;Al Ferrari;;SG;27;STL;35,7;329
1962;Al Ferrari;;SG;28;STL;35,7;591
1963;Al Ferrari;;G-F;29;CHZ;32,4;38
1978;Al Fleming;;SF;23;SEA;48,4;40
1950;Al Guokas;;F-G;24;TOT;31,1;214
1950;Al Guokas;;F-G;24;DNN;31,7;197
1950;Al Guokas;;F-G;24;PHW;25;17
1969;Al Hairston;;SG;23;SEA;33,3;84
1970;Al Hairston;;SG;24;SEA;37,5;7
1999;Al Harrington;;PF;18;IND;32,1;45
2000;Al Harrington;$797,880.00 ;PF;19;IND;45,8;328
2001;Al Harrington;$1,436,982.00 ;PF;20;IND;44,4;586
2002;Al Harrington;$5,060,000.00 ;PF;21;IND;47,5;576
2003;Al Harrington;$5,692,500.00 ;SF;22;IND;43,4;1002
2004;Al Harrington;$6,325,000.00 ;PF;23;IND;46,3;1048
2005;Al Harrington;$6,957,500.00 ;SF;24;ATL;45,9;1158
2006;Al Harrington;$7,625,000.00 ;PF;25;ATL;45,2;1411
2007;Al Harrington;$8,425,625.00 ;PF;26;TOT;45,7;1285
2007;Al Harrington;$8,425,625.00 ;PF;26;IND;45,8;572
2007;Al Harrington;$8,425,625.00 ;PF;26;GSW;45,6;713
2008;Al Harrington;$9,226,250.00 ;C;27;GSW;43,4;1102
2009;Al Harrington;$10,026,875.00 ;PF;28;TOT;43,9;1469
2009;Al Harrington;$10,026,875.00 ;PF;28;GSW;32,9;62
2009;Al Harrington;$10,026,875.00 ;PF;28;NYK;44,6;1407
2010;Al Harrington;$5,765,000.00 ;PF;29;NYK;43,5;1276
2011;Al Harrington;$6,226,200.00 ;PF;30;DEN;41,6;765
2012;Al Harrington;$6,687,400.00 ;PF;31;DEN;44,6;910
2013;Al Harrington;$3,574,300.00 ;C;32;ORL;35,1;51
2014;Al Harrington;$3,805,000.00 ;PF;33;WAS;39,6;225
1971;Al Henry;;C;21;PHI;16,7;7
1972;Al Henry;;C;22;PHI;43,6;187
2008;Al Horford;$4,026,720.00 ;C;21;ATL;49,9;821
2009;Al Horford;$4,307,640.00 ;C;22;ATL;52,5;773
2010;Al Horford;$5,444,857.00 ;C;23;ATL;55,1;1148
2011;Al Horford;$12,000,000.00 ;C;24;ATL;55,7;1178
2012;Al Horford;$12,000,000.00 ;C;25;ATL;55,3;136
2013;Al Horford;$12,000,000.00 ;C;26;ATL;54,3;1289
2014;Al Horford;$12,000,000.00 ;C;27;ATL;56,7;538
2015;Al Horford;$12,000,000.00 ;C;28;ATL;53,8;1156
2016;Al Horford;$26,540,100.00 ;C;29;ATL;50,5;1249
2017;Al Horford;$27,734,405.00 ;C;30;BOS;47,3;952
1968;Al Jackson;;G;24;CIN;0;0
2005;Al Jefferson;$1,512,840.00 ;PF;20;BOS;52,8;475
2006;Al Jefferson;;PF;21;BOS;49,9;464
2007;Al Jefferson;$2,480,885.00 ;C;22;BOS;51,4;1107
2008;Al Jefferson;$11,000,000.00 ;C;23;MIN;50;1726
2009;Al Jefferson;$12,000,000.00 ;C;24;MIN;49,7;1156
2010;Al Jefferson;$13,000,000.00 ;C;25;MIN;49,8;1301
2011;Al Jefferson;$14,000,000.00 ;C;26;UTA;49,6;1528
2012;Al Jefferson;$15,000,000.00 ;C;27;UTA;49,2;1170
2013;Al Jefferson;;C;28;UTA;49,4;1391
2014;Al Jefferson;;C;29;CHA;50,9;1594
2015;Al Jefferson;$13,833,333.00 ;C;30;CHO;48,1;1082
2016;Al Jefferson;$10,230,179.00 ;C;31;CHO;48,5;562
2017;Al Jefferson;$9,769,821.00 ;C;32;IND;49,9;535
1953;Al Masino;;PG;24;MLH;33,5;396
1954;Al Masino;;PG;25;TOT;41,9;82
1954;Al Masino;;PG;25;ROC;50;23
1954;Al Masino;;PG;25;SYR;39,1;59
1950;Al Miksis;;C;21;WAT;23,8;27
1954;Al Roges;;SF;23;BLB;35,8;570
1955;Al Roges;;G-F;24;TOT;37,7;61
1977;Al Skinner;;SG;24;NYN;43,1;995
1978;Al Skinner;;SG;25;TOT;45,5;606
1978;Al Skinner;;SG;25;NJN;40,6;121
1978;Al Skinner;;SG;25;DET;46,8;485
1979;Al Skinner;;SG;26;TOT;42,5;281
1979;Al Skinner;;SG;26;NJN;44;182
1979;Al Skinner;;SG;26;PHI;40,4;99
1980;Al Skinner;;SG;27;PHI;50;2
2008;Al Thornton;$1,776,240.00 ;PF;24;LAC;42,9;1005
2009;Al Thornton;$1,900,200.00 ;SF;25;LAC;44,6;1194
2010;Al Thornton;$2,814,196.00 ;SF;26;TOT;47,3;804
2010;Al Thornton;$2,814,196.00 ;SF;26;LAC;47,8;548
2010;Al Thornton;$2,814,196.00 ;SF;26;WAS;46,3;256
2011;Al Thornton;;SF-PF;27;TOT;47,6;524
2011;Al Thornton;;SF;27;WAS;47,1;393
2011;Al Thornton;;PF;27;GSW;49;131
1968;Al Tucker;;PF;24;SEA;44,2;1060
1969;Al Tucker;;PF;25;TOT;44,6;880
1969;Al Tucker;;PF;25;SEA;43,2;579
1969;Al Tucker;;PF;25;CIN;47,5;301
1970;Al Tucker;;PF;26;TOT;51,2;362
1970;Al Tucker;;PF;26;CHI;51,3;231
1970;Al Tucker;;PF;26;BAL;51;131
1971;Al Tucker;;PF;27;BAL;45,2;129
1982;Al Wood;;SG;23;TOT;47;454
1982;Al Wood;;SG;23;ATL;34,3;92
1982;Al Wood;;SG;23;SDC;51,8;362
1983;Al Wood;;SF;24;SDC;46,4;825
1984;Al Wood;;SG;25;SEA;49,4;1160
1985;Al Wood;;SG;26;SEA;48,5;1203
1986;Al Wood;;SG;27;SEA;43,5;902
1987;Al Wood;;SG;28;DAL;39;358
1991;Alaa Abdelnaby;$494,000.00 ;PF;22;POR;47,4;135
1992;Alaa Abdelnaby;$500,000.00 ;PF;23;POR;49,3;432
1993;Alaa Abdelnaby;$805,000.00 ;PF;24;TOT;51,8;578
1993;Alaa Abdelnaby;$805,000.00 ;PF;24;MIL;46,4;64
1993;Alaa Abdelnaby;$805,000.00 ;PF;24;BOS;52,5;514
1994;Alaa Abdelnaby;$650,000.00 ;PF;25;BOS;43,6;64
1995;Alaa Abdelnaby;;PF;26;TOT;51,1;256
1995;Alaa Abdelnaby;;PF;26;SAC;53,2;254
1995;Alaa Abdelnaby;;PF;26;PHI;9,1;2
2006;Alan Anderson;;SF;23;CHA;41,4;207
2007;Alan Anderson;;SG;24;CHA;45,7;98
2012;Alan Anderson;$885,120.00 ;SF;29;TOR;38,7;163
2013;Alan Anderson;$947,907.00 ;SF;30;TOR;38,3;693
2014;Alan Anderson;$1,276,061.00 ;SF;31;BRK;40;564
2015;Alan Anderson;$4,000,000.00 ;SG;32;BRK;44,3;545
2016;Alan Anderson;$1,315,448.00 ;SG;33;WAS;35,6;65
2017;Alan Anderson;;SF;34;LAC;37,5;86
1981;Alan Hardy;;SG;23;LAL;37,3;51
1982;Alan Hardy;;SG;24;DET;45,6;142
1996;Alan Henderson;$910,000.00 ;PF;23;ATL;44,2;503
1997;Alan Henderson;$1,028,400.00 ;PF;24;ATL;47,5;199
1998;Alan Henderson;$4,725,000.00 ;PF;25;ATL;48,5;986
1999;Alan Henderson;$5,318,437.00 ;SF;26;ATL;44,2;474
2000;Alan Henderson;$5,910,000.00 ;PF;27;ATL;46,1;1083
2001;Alan Henderson;$6,500,312.00 ;PF;28;ATL;44,4;769
2002;Alan Henderson;$7,091,250.00 ;PF;29;ATL;50,9;143
2003;Alan Henderson;$7,682,188.00 ;C;30;ATL;46,8;394
2004;Alan Henderson;$8,273,125.00 ;PF;31;ATL;47,6;24
2005;Alan Henderson;$1,138,500.00 ;PF;32;DAL;52,7;273
2006;Alan Henderson;;C;33;CLE;51,6;127
2007;Alan Henderson;;PF;34;PHI;64,2;119
1991;Alan Ogg;$202,000.00 ;C;23;MIA;43,6;54
1992;Alan Ogg;;C;24;MIA;54,8;108
1993;Alan Ogg;;C;25;TOT;38,5;13
1993;Alan Ogg;;C;25;MIL;33,3;8
1993;Alan Ogg;;C;25;WSB;50;5
1951;Alan Sawyer;;F;23;WSC;37;217
2016;Alan Williams;$874,636.00 ;PF;23;PHO;41,7;29
2017;Alan Williams;$6,000,000.00 ;C;24;PHO;51,7;346
2008;Alando Tucker;$1,001,880.00 ;SF;23;PHO;36,4;22
2009;Alando Tucker;$1,071,720.00 ;SG;24;PHO;43;138
2010;Alando Tucker;;SF;25;TOT;43,6;51
2010;Alando Tucker;;SF;25;PHO;43,3;43
2010;Alando Tucker;;SF;25;MIN;44,4;8
1982;Albert King;;SF;22;NJN;48,2;918
1983;Albert King;;SF;23;NJN;47,5;1346
1984;Albert King;;SF;24;NJN;49,2;1165
1985;Albert King;;SF;25;NJN;49,1;537
1986;Albert King;;SF;26;NJN;45,6;1047
1987;Albert King;;SF;27;NJN;42,6;582
1988;Albert King;;SF;28;PHI;39,1;517
1989;Albert King;;SF;29;SAS;43,1;327
1992;Albert King;;SF;32;WSB;36,7;31
2012;Alec Burks;$2,171,640.00 ;SG;20;UTA;42,9;425
2013;Alec Burks;$2,202,000.00 ;SG;21;UTA;42;451
2014;Alec Burks;$3,034,356.00 ;SG;22;UTA;45,7;1089
2015;Alec Burks;$9,213,484.00 ;SG;23;UTA;40,3;374
2016;Alec Burks;$10,154,495.00 ;SG;24;UTA;41;412
2017;Alec Burks;$10,845,506.00 ;SG;25;UTA;39,9;283
1991;Alec Kessler;$1,122,000.00 ;C;24;MIA;42,5;486
1992;Alec Kessler;$762,000.00 ;PF;25;MIA;41,3;410
1993;Alec Kessler;$922,000.00 ;PF;26;MIA;46,7;155
1994;Alec Kessler;$1,402,000.00 ;PF;27;MIA;44;33
1997;Aleksandar Djordjevic;;SG;29;POR;50;25
2000;Aleksandar Radojevic;$1,425,120.00 ;C;23;TOR;28,6;7
2005;Aleksandar Radojevic;;C;28;UTA;31,6;19
2017;Alex Abrines;$5,725,000.00 ;SG;23;OKC;39,3;406
2006;Alex Acker;$839,209.00 ;SG;23;DET;25;9
2009;Alex Acker;;SG;26;TOT;39,5;72
2009;Alex Acker;;SG;26;DET;36,4;9
2009;Alex Acker;;SG;26;LAC;40;63
1993;Alex Blackwell;;SF;22;LAL;33,3;34
1982;Alex Bradley;;SF;22;NYK;52,4;137
1977;Alex English*;;SF;23;MIL;47,7;310
1978;Alex English*;;SF;24;MIL;54,2;790
1979;Alex English*;;SF;25;IND;51,1;1299
1980;Alex English*;;SF;26;TOT;49,7;1318
1980;Alex English*;;SF;26;IND;50,4;806
1980;Alex English*;;SF;26;DEN;48,5;512
1981;Alex English*;;SF;27;DEN;49,4;1929
1982;Alex English*;;SF;28;DEN;55,1;2082
1983;Alex English*;;SF;29;DEN;51,6;2326
1984;Alex English*;;SF;30;DEN;52,9;2167
1985;Alex English*;;SF;31;DEN;51,8;2262
1986;Alex English*;;SF;32;DEN;50,4;2414
1987;Alex English*;;SF;33;DEN;50,3;2345
1988;Alex English*;;SF;34;DEN;49,5;2000
1989;Alex English*;;SF;35;DEN;49,1;2175
1990;Alex English*;$1,500,000.00 ;SF;36;DEN;49,1;1433
1991;Alex English*;$500,000.00 ;SF;37;DAL;43,9;763
2004;Alex Garcia;$620,046.00 ;SG;23;SAS;14,3;3
2005;Alex Garcia;;SG;24;NOH;34,6;44
1950;Alex Groza;;C;23;INO;47,8;1496
1951;Alex Groza;;C;24;INO;47;1429
